timestamp,left_wheel_odom,right_wheel_odom,x,y,theta,linear_velocity,angular_velocity,distance_traveled
1743479622.8602908,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600077,0.019195131113433638,0.04900884539600076,0.019193210164833593
1743479622.9105594,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396000776,0.0,0.0,0.019193210164833593
1743479622.9607818,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600078,0.0,0.0,0.019193210164833593
1743479623.0111077,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600079,0.0,0.0,0.019193210164833593
1743479623.0617712,70,118,0.0191874480110842,0.0004702714677848766,0.0490088453960008,0.0,0.0,0.019193210164833593
1743479623.1119456,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396000804,0.0,0.0,0.019193210164833593
1743479623.1622066,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600081,0.0,0.0,0.019193210164833593
1743479623.2123935,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600082,0.0,0.0,0.019193210164833593
1743479623.2626317,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396000825,0.0,0.0,0.019193210164833593
1743479623.3128974,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600083,0.0,0.0,0.019193210164833593
1743479623.3631625,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600084,0.0,0.0,0.019193210164833593
1743479623.413361,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396000845,0.0,0.0,0.019193210164833593
1743479623.4635549,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600085,0.0,0.0,0.019193210164833593
1743479623.5137022,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600086,0.0,0.0,0.019193210164833593
1743479623.5638342,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396000866,0.0,0.0,0.019193210164833593
1743479623.6140459,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600087,0.0,0.0,0.019193210164833593
1743479623.6642315,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600088,0.0,0.0,0.019193210164833593
1743479623.7143927,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600089,0.0,0.0,0.019193210164833593
1743479623.7645266,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396000894,0.0,0.0,0.019193210164833593
1743479623.8146544,70,118,0.0191874480110842,0.0004702714677848766,0.0490088453960009,0.0,0.0,0.019193210164833593
1743479623.8648105,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600091,0.0,0.0,0.019193210164833593
1743479623.915521,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396000915,0.0,0.0,0.019193210164833593
1743479623.9656844,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600092,0.0,0.0,0.019193210164833593
1743479624.0158093,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600093,0.0,0.0,0.019193210164833593
1743479624.0659354,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396000936,0.0,0.0,0.019193210164833593
1743479624.11609,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600094,0.0,0.0,0.019193210164833593
1743479624.1662576,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600095,0.0,0.0,0.019193210164833593
1743479624.2164378,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396000957,0.0,0.0,0.019193210164833593
1743479624.2665856,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600096,0.0,0.0,0.019193210164833593
1743479624.316723,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600097,0.0,0.0,0.019193210164833593
1743479624.366841,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600098,0.0,0.0,0.019193210164833593
1743479624.416988,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396000984,0.0,0.0,0.019193210164833593
1743479624.4671235,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600099,0.0,0.0,0.019193210164833593
1743479624.5172956,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396001,0.0,0.0,0.019193210164833593
1743479624.5674455,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396001005,0.0,0.0,0.019193210164833593
1743479624.6177013,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600101,0.0,0.0,0.019193210164833593
1743479624.6678913,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600102,0.0,0.0,0.019193210164833593
1743479624.7180114,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396001026,0.0,0.0,0.019193210164833593
1743479624.7681406,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600103,0.0,0.0,0.019193210164833593
1743479624.8183267,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600104,0.0,0.0,0.019193210164833593
1743479624.868521,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600105,0.0,0.0,0.019193210164833593
1743479624.9187171,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396001054,0.0,0.0,0.019193210164833593
1743479624.9689517,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600106,0.0,0.0,0.019193210164833593
1743479625.0191557,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600107,0.0,0.0,0.019193210164833593
1743479625.0694106,70,118,0.0191874480110842,0.0004702714677848766,0.049008845396001074,0.0,0.0,0.019193210164833593
1743479625.1196558,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600108,0.0,0.0,0.019193210164833593
1743479625.1698635,70,118,0.0191874480110842,0.0004702714677848766,0.04900884539600109,0.0,0.0,0.019193210164833593
